project_match_id,member_count,source_count,sources,country_iso3,year,member_record_keys,group_basis
PM-D4FECCDD440F9D,3,3,aiddata|cla|codf,NGA,2010,aiddata:30450|cla:NG.006|codf:NG.006,human_confirmed
PM-DE901BE64E4EDE,2,2,cla|codf,NGA,2012,cla:NG.007|codf:NG.007,automatic_high_confidence
PM-4848AB335B4887,9,6,aiddata|cgef|cgp|cla|codf|cofi,NGA,2013,aiddata:30371|cgef:NG.010|cgp:NG.005.1|cgp:NG.005.2|cgp:NG.005.3|cgp:NG.005.4|cla:NG.010|codf:NG.010|cofi:NGA2021007:debt,human_confirmed
PM-9A73342FE56C71,2,2,cla|codf,NGA,2013,cla:NG.015|codf:NG.015,automatic_high_confidence
PM-A58E11FAF6B5B1,2,2,aiddata|chapo,NGA,2013,aiddata:31020|chapo:31020,direct_reference
PM-DA738FFD197B70,2,2,cla|codf,NGA,2013,cla:NG.008|codf:NG.008,automatic_high_confidence
PM-48920FBFFFB72D,2,2,aiddata|chapo,NGA,2014,aiddata:73399|chapo:73399,direct_reference
PM-0C4E53F1C373BA,2,2,aiddata|chapo,NGA,2015,aiddata:61178|chapo:61178,direct_reference
PM-DF9523B6846FB2,2,2,aiddata|chapo,NGA,2015,aiddata:73398|chapo:73398,direct_reference
PM-6EE7F6191BCF00,2,2,cla|codf,NGA,2016,cla:NG.076|codf:NG.076,automatic_high_confidence
PM-14866F4523B505,2,2,cla|codf,NGA,2017,cla:NG.070|codf:NG.070,automatic_high_confidence
PM-295F6CC7A51A31,2,2,cla|codf,NGA,2017,cla:NG.060|codf:NG.060,automatic_high_confidence
PM-7B6E6358417115,2,2,cla|codf,NGA,2017,cla:NG.041|codf:NG.041,automatic_high_confidence
PM-F92544CAA8DDA8,2,2,cla|codf,NGA,2017,cla:NG.069|codf:NG.069,automatic_high_confidence
PM-8DDC930DBC391D,2,2,aiddata|chapo,NGA,2018,aiddata:85710|chapo:85710,direct_reference
PM-A32486D3B1D227,2,2,cla|codf,NGA,2018,cla:NG.058|codf:NG.058,automatic_high_confidence
PM-C3288421DBC380,2,2,cla|codf,NGA,2018,cla:NG.052|codf:NG.052,automatic_high_confidence
PM-FD124E45FBC2B5,3,3,aiddata|cla|codf,NGA,2018,aiddata:73400|cla:NG.053|codf:NG.053,human_confirmed
PM-1C038F79443EFA,2,2,aiddata|chapo,NGA,2019,aiddata:87068|chapo:87068,direct_reference
PM-8A8C4B858DBBBB,2,2,cla|codf,NGA,2019,cla:NG.066|codf:NG.066,automatic_high_confidence
PM-93456F7F7D1FF7,3,3,aiddata|cla|codf,NGA,2019,aiddata:85628|cla:NG.063|codf:NG.063,human_confirmed
PM-D1BBEDA6254F53,2,2,cla|codf,NGA,2019,cla:NG.065|codf:NG.065,automatic_high_confidence
PM-0A6612C94D7B53,2,2,aiddata|chapo,NGA,2020,aiddata:93282|chapo:93282,direct_reference
PM-1BCEECE1EBE21E,2,2,aiddata|chapo,NGA,2020,aiddata:93776|chapo:93776,direct_reference
PM-2CE685936022A8,2,2,aiddata|chapo,NGA,2020,aiddata:93420|chapo:93420,direct_reference
PM-40C6D53E6E6590,2,2,aiddata|chapo,NGA,2020,aiddata:93020|chapo:93020,direct_reference
PM-84A564AD2415CD,2,2,aiddata|chapo,NGA,2020,aiddata:93289|chapo:93289,direct_reference
PM-9D81C06076259E,2,2,aiddata|chapo,NGA,2020,aiddata:93436|chapo:93436,direct_reference
PM-A53E0DC7907659,2,2,aiddata|chapo,NGA,2020,aiddata:97934|chapo:97934,direct_reference
PM-A8F821AC796A0C,2,2,aiddata|chapo,NGA,2020,aiddata:93152|chapo:93152,direct_reference
PM-C48F6F1FA7D518,2,2,aiddata|chapo,NGA,2020,aiddata:92929|chapo:92929,direct_reference
PM-C4F0BC0674961E,2,2,aiddata|chapo,NGA,2020,aiddata:93092|chapo:93092,direct_reference
PM-C8792687466A53,2,2,aiddata|chapo,NGA,2020,aiddata:92908|chapo:92908,direct_reference
PM-CE927AF2A24905,2,2,aiddata|chapo,NGA,2020,aiddata:93093|chapo:93093,direct_reference
